dataset,noise_rate,seed,rem_thresh,rel_thresh,gain
PubMed,0.1,0,0.9,0.7,-0.029999971389770508
PubMed,0.1,0,0.9,0.8,-0.03299999237060547
PubMed,0.1,0,0.9,0.9,-0.03299999237060547
PubMed,0.1,0,0.9,1.0,-0.03799998760223389
PubMed,0.1,0,1.0,0.0,-0.003000020980834961
PubMed,0.1,0,1.0,0.1,-0.009999990463256836
PubMed,0.1,0,1.0,0.2,-0.0009999871253967285
PubMed,0.1,0,1.0,0.3,-0.018000006675720215
PubMed,0.1,0,1.0,0.4,-0.018000006675720215
PubMed,0.1,0,1.0,0.5,-0.018999993801116943
PubMed,0.1,0,1.0,0.6,-0.02899998426437378
PubMed,0.1,0,1.0,0.7,-0.029999971389770508
PubMed,0.1,0,1.0,0.8,-0.03299999237060547
PubMed,0.1,0,1.0,0.9,-0.03299999237060547
PubMed,0.1,0,1.0,1.0,-0.03799998760223389
PubMed,0.1,1,0.1,0.0,0.003000020980834961
PubMed,0.1,1,0.1,0.1,0.003000020980834961
PubMed,0.1,1,0.1,0.2,-0.009999990463256836
PubMed,0.1,1,0.1,0.3,-0.013999998569488525
PubMed,0.1,1,0.1,0.4,-0.01799994707107544
PubMed,0.1,1,0.1,0.5,-0.01799994707107544
PubMed,0.1,1,0.1,0.6,-0.015999972820281982
PubMed,0.1,1,0.1,0.7,-0.023000001907348633
PubMed,0.1,1,0.1,0.8,-0.030999958515167236
PubMed,0.1,1,0.1,0.9,-0.0339999794960022
PubMed,0.1,1,0.1,1.0,-0.03700000047683716
PubMed,0.1,1,0.2,0.0,0.025000035762786865
PubMed,0.1,1,0.2,0.1,0.025000035762786865
PubMed,0.1,1,0.2,0.2,0.009000003337860107
PubMed,0.1,1,0.2,0.3,0.0020000338554382324
PubMed,0.1,1,0.2,0.4,-0.008999943733215332
PubMed,0.1,1,0.2,0.5,-0.008999943733215332
PubMed,0.1,1,0.2,0.6,-0.011999964714050293
PubMed,0.1,1,0.2,0.7,-0.023000001907348633
PubMed,0.1,1,0.2,0.8,-0.02499997615814209
PubMed,0.1,1,0.2,0.9,-0.02199995517730713
PubMed,0.1,1,0.2,1.0,-0.02599996328353882
PubMed,0.1,1,0.3,0.0,0.025000035762786865
PubMed,0.1,1,0.3,0.1,0.025000035762786865
PubMed,0.1,1,0.3,0.2,0.009000003337860107
PubMed,0.1,1,0.3,0.3,0.0020000338554382324
PubMed,0.1,1,0.3,0.4,-0.008999943733215332
PubMed,0.1,1,0.3,0.5,-0.008999943733215332
PubMed,0.1,1,0.3,0.6,-0.011999964714050293
PubMed,0.1,1,0.3,0.7,-0.023000001907348633
PubMed,0.1,1,0.3,0.8,-0.02499997615814209
PubMed,0.1,1,0.3,0.9,-0.02199995517730713
PubMed,0.1,1,0.3,1.0,-0.02599996328353882
PubMed,0.1,1,0.4,0.0,0.025000035762786865
PubMed,0.1,1,0.4,0.1,0.025000035762786865
PubMed,0.1,1,0.4,0.2,0.009000003337860107
PubMed,0.1,1,0.4,0.3,0.0020000338554382324
PubMed,0.1,1,0.4,0.4,-0.008999943733215332
PubMed,0.1,1,0.4,0.5,-0.008999943733215332
PubMed,0.1,1,0.4,0.6,-0.011999964714050293
PubMed,0.1,1,0.4,0.7,-0.023000001907348633
PubMed,0.1,1,0.4,0.8,-0.02499997615814209
PubMed,0.1,1,0.4,0.9,-0.02199995517730713
PubMed,0.1,1,0.4,1.0,-0.02599996328353882
PubMed,0.1,1,0.5,0.0,0.025000035762786865
PubMed,0.1,1,0.5,0.1,0.025000035762786865
PubMed,0.1,1,0.5,0.2,0.009000003337860107
PubMed,0.1,1,0.5,0.3,0.0020000338554382324
PubMed,0.1,1,0.5,0.4,-0.008999943733215332
